Id	Label	type	date
OC326	Ojos eran, fugitivos,	ref	1619
OC327	¿Callaré la pena mía,	ref	1619
OC328	¿Quién oyó?	ref	1619
OC329	Manzanares, Manzanares,	ref	1619
OC330	Purpúreo creced, rayo luciente	ref	1620
OC331	Al que de la conciencia es del tercero	ref	1620
OC332	A este que admiramos en luciente	ref	1620
OC333	Ave real de plumas tan desnuda,	ref	1620
OC334	Dulce arroyuelo de la nieve fría	ref	1620
OC335	Peinaba al sol Belisa sus cabellos	ref	1620
OC336	Prisión del nácar era, articulado,	ref	1620
OC337	Mis albarcoques sean de Toledo,	ref	1620
OC338	Hurtas mi vulto, y cuanto más le debe	ref	1620
OC339	La bella Lira muda yace ahora	ref	1620
OC340	Mátanme los celos de aquel andaluz:	ref	1620
OC341	Dulce niña, el barro bello	ref	1620
OC342	No hay que agradeceros nada	ref	1620
OC343	¿Para qué me dais tormento,	ref	1620
OC344	Ánsares de Menga	ref	1620
OC345	No vayas, Gil, al Sotillo,	ref	1620
OC346	¡Cuántos silbos, cuántas voces	ref	1620
OC347	Las esmeraldas en hierba,	ref	1620
OC348	Al tronco de un verde mirto,	ref	1620
OC349	Hiedra vividora,	ref	1620
OC350	Por las faldas del Atlante,	ref	1620
OC351	En la fuerza de Almería	ref	1620
OC352	Con su querida Amarilis	ref	1620
OC353	Minguilla la siempre bella,	ref	1620
OC354	Este funeral trono, que luciente,	ref	1621
OC355	Las que a otros negó piedras oriente,	ref	1621
OC356	Los rayos que a tu padre son cabello,	ref	1621
OC357	Teatro espacïoso su ribera	ref	1621
OC358	Sella el tronco sangriento, no lo oprime,	ref	1621
OC359	Ser pudiera tu pira levantada,	ref	1621
OC360	Aljófares risueños de Albïela:	ref	1621
OC361	Al tronco Filis de un laurel sagrado	ref	1621
OC362	El conde mi señor se fue a Cherela,	ref	1621
OC363	Suspenda, y no sin lágrimas, tu paso,	ref	1621
OC364	Cuanto el acero fatal	ref	1621
OC365	Mil veces vuestro favor,	ref	1621
OC366	Este de mimbres vestido	ref	1621
OC367	"Latraui ad fures: tacui cum venit amator;"	ref	1621
OC368	Hoy el Josef es, segundo,	ref	1621
OC369	Caído se le ha un clavel	ref	1621
OC370	Aprended, Flores, en mí	ref	1621
