Source	Target	mode	section	date	labelSource	PoemTitle	PoemDate	precision	unit	quantity
1636_compendio-poetico	conde de Villamediana	polemista		1636	Villar, Francisco del					
1636_compendio-poetico	Pedro Calderón	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Alonso de Bonilla	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Lupercios	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Anastasio Pantaleón	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Villaizán	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Pellicer	polemista		1636	Villar, Francisco del					
1636_compendio-poetico	Salinas	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Antonio de Mendoza	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Juan de Mena	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Garcilaso de la Vega	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Francisco Sánchez el Brocense	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Hernando de Herrera	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Tomás Tamayo de Vargas	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Luis de Góngora	polemista		1636	Villar, Francisco del					
1636_compendio-poetico	Lope de Vega Carpio	polemista		1636	Villar, Francisco del					
1636_compendio-poetico	Juan Pérez de Montalbán	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Lope de Vega	polemista		1636	Villar, Francisco del					
1636_compendio-poetico	don Luis	polemista		1636	Villar, Francisco del					

